Date,Close/Last,Volume,Open,High,Low
10/21/2021,$74.59,5836250,$75.65,$75.65,$74.11
10/20/2021,$76.02,5505969,$74.72,$76.10,$74.54
10/19/2021,$75.32,6589365,$74.84,$75.845,$74.38
10/18/2021,$74.50,9918013,$74.77,$75.745,$74.13
10/15/2021,$74.14,6945104,$74.63,$74.93,$74.13
10/14/2021,$73.85,8154064,$74.29,$74.6075,$72.84
10/13/2021,$73.23,8517762,$72.45,$73.76,$71.46
10/12/2021,$73.41,7635584,$74.14,$74.61,$73.02
10/11/2021,$73.97,9585222,$75.13,$75.5201,$73.745
10/08/2021,$74.92,12310520,$72.19,$75.10,$72.19
10/07/2021,$71.51,11521270,$72.01,$72.13,$70.61
10/06/2021,$71.81,10613460,$70.40,$72.11,$69.79
10/05/2021,$71.73,11270070,$72.10,$72.86,$70.71
10/04/2021,$71.49,12423520,$70.85,$72.61,$70.63
10/01/2021,$70.10,13482280,$68.38,$70.325,$68.31
09/30/2021,$67.77,15851480,$68.22,$68.89,$67.72
09/29/2021,$68.04,10563680,$67.63,$68.48,$66.615
09/28/2021,$67.80,14995160,$67.55,$68.6429,$67.17
09/27/2021,$66.71,13508740,$66.70,$66.95,$65.80
09/24/2021,$65.02,11128280,$63.79,$65.695,$63.54
09/23/2021,$63.71,11886810,$62.25,$64.12,$62.25
09/22/2021,$62.26,15753040,$60.21,$62.89,$60.21
09/21/2021,$59.33,13923150,$58.47,$59.825,$57.72
09/20/2021,$57.07,10001840,$57.49,$58.01,$56.30
09/17/2021,$58.92,13741560,$59.07,$59.91,$58.78
09/16/2021,$59.23,8773081,$59.28,$59.66,$58.755
09/15/2021,$59.32,10765990,$58.09,$59.46,$58.06
09/14/2021,$56.94,7880750,$58.22,$58.29,$56.61
09/13/2021,$57.59,8456504,$56.57,$58.08,$56.57
09/10/2021,$55.73,5055193,$56.61,$56.74,$55.46
09/09/2021,$55.58,6285820,$55.15,$56.54,$54.83
09/08/2021,$55.28,5228937,$56.32,$56.61,$55.19
09/07/2021,$55.98,6632600,$55.89,$56.48,$55.32
09/03/2021,$56.24,7954693,$56.34,$56.95,$55.94
09/02/2021,$56.60,6697427,$55.26,$56.98,$55.21
09/01/2021,$54.65,9319767,$55.56,$55.92,$54.42
08/31/2021,$55.53,10500510,$55.75,$56.33,$55.30
08/30/2021,$56.20,4838609,$56.98,$57.14,$56.18
08/27/2021,$56.74,6549362,$55.79,$57.12,$55.52
08/26/2021,$55.13,5208974,$55.75,$56.09,$54.955
08/25/2021,$56.02,6125496,$55.45,$56.39,$55.05
08/24/2021,$55.41,6245456,$55.18,$55.69,$54.635
08/23/2021,$54.79,8022227,$54.15,$55.125,$54.02
08/20/2021,$52.77,7068297,$51.87,$52.99,$51.59
08/19/2021,$52.44,11306390,$52.67,$52.975,$51.41
08/18/2021,$53.53,6647900,$54.38,$55.06,$53.46
08/17/2021,$54.52,6480266,$54.41,$55.439,$54.25
08/16/2021,$54.81,7464883,$55.22,$55.58,$54.60
08/13/2021,$55.97,7399776,$56.95,$57.23,$55.85
08/12/2021,$57.04,4730872,$57.14,$57.58,$56.53
08/11/2021,$57.19,6072133,$56.38,$57.355,$55.95
08/10/2021,$56.48,6781846,$55.85,$56.775,$55.76
08/09/2021,$55.45,5410558,$55.67,$56.1728,$55.23
08/06/2021,$56.50,5039096,$56.59,$57.17,$56.10
08/05/2021,$55.95,6573080,$55.46,$56.62,$55.05
08/04/2021,$54.93,7629754,$55.33,$56.50,$54.91
08/03/2021,$56.64,9888408,$55.09,$56.768,$54.51
08/02/2021,$55.38,8469537,$56.53,$57.76,$55.33
07/30/2021,$56.06,8660052,$56.76,$56.90,$55.72
07/29/2021,$57.08,6306398,$57.42,$57.84,$56.86
07/28/2021,$56.72,6167171,$56.48,$57.15,$55.81
07/27/2021,$56.33,7363559,$56.16,$56.62,$55.34
07/26/2021,$56.87,8756272,$55.71,$57.35,$55.57
07/23/2021,$55.34,10623750,$56.00,$56.28,$54.735
07/22/2021,$56.67,6765540,$57.02,$57.21,$56.18
07/21/2021,$57.02,9377963,$55.73,$57.415,$55.61
07/20/2021,$54.47,9358222,$53.50,$55.25,$53.28
07/19/2021,$53.70,13342150,$53.43,$54.30,$52.82
07/16/2021,$55.50,8805604,$57.70,$57.90,$55.305
07/15/2021,$57.08,8723253,$57.00,$58.22,$56.79
07/14/2021,$57.67,8489637,$59.89,$60.61,$57.34
07/13/2021,$59.46,6510447,$59.49,$59.99,$58.80
07/12/2021,$59.80,6063123,$58.91,$60.44,$58.7325
07/09/2021,$60.13,6973748,$59.75,$60.46,$59.34
07/08/2021,$59.21,10551540,$58.25,$59.64,$57.99
07/07/2021,$59.01,8239680,$60.00,$60.78,$58.6301
07/06/2021,$60.28,11699410,$62.78,$62.89,$60.2099
07/02/2021,$62.75,7636241,$62.46,$63.17,$61.59
07/01/2021,$62.88,11637530,$62.69,$63.57,$62.35
06/30/2021,$60.90,9309911,$60.48,$60.945,$59.8081
06/29/2021,$59.05,6437087,$60.10,$60.20,$58.835
06/28/2021,$59.59,7647285,$61.12,$61.165,$59.37
06/25/2021,$61.31,8099492,$61.70,$61.75,$61.015
06/24/2021,$61.39,6424421,$60.97,$61.51,$60.32
06/23/2021,$60.76,8183988,$61.10,$62.35,$60.75
06/22/2021,$60.79,6745135,$60.15,$61.12,$59.64
06/21/2021,$60.45,8234313,$58.23,$60.529,$58.21
06/18/2021,$57.53,18583770,$57.88,$59.21,$57.48
06/17/2021,$59.01,13667220,$60.90,$61.57,$58.55
06/16/2021,$61.13,9745847,$61.09,$61.7799,$60.56
06/15/2021,$61.17,7835695,$60.70,$61.555,$60.47
06/14/2021,$60.31,7744346,$60.65,$61.07,$59.85
06/11/2021,$59.97,8117087,$60.50,$60.93,$59.80
06/10/2021,$60.17,9396030,$61.01,$61.28,$59.28
06/09/2021,$59.68,7026319,$60.63,$60.88,$59.58
06/08/2021,$60.47,7345202,$59.43,$60.62,$58.63
06/07/2021,$59.81,5405072,$59.81,$60.53,$59.585
06/04/2021,$59.85,6504767,$59.82,$60.13,$58.90
06/03/2021,$59.47,8280778,$58.72,$60.00,$58.56
06/02/2021,$58.99,6103331,$58.66,$59.41,$57.74
06/01/2021,$58.27,9943614,$57.08,$58.48,$57.05
05/28/2021,$55.74,5746546,$55.80,$55.95,$55.32
05/27/2021,$55.53,7484325,$55.73,$56.32,$55.12
05/26/2021,$55.42,6716041,$55.07,$55.56,$54.67
05/25/2021,$54.88,8090568,$56.00,$56.375,$54.77
05/24/2021,$56.10,6372797,$56.12,$56.26,$55.26
05/21/2021,$55.65,6032255,$56.06,$56.43,$55.57
05/20/2021,$55.39,8798791,$55.65,$55.66,$54.634
05/19/2021,$55.58,9406444,$55.94,$56.53,$54.815
05/18/2021,$57.29,10321990,$58.27,$58.64,$56.96
05/17/2021,$58.30,11438380,$56.07,$58.33,$56.07
05/14/2021,$56.52,6419947,$55.04,$56.645,$55.03
05/13/2021,$54.24,7583669,$54.61,$55.43,$53.57
05/12/2021,$55.69,7925083,$56.11,$57.71,$55.46
05/11/2021,$55.72,9741371,$55.79,$56.72,$55.15
05/10/2021,$57.00,8801719,$58.21,$59.34,$56.96
05/07/2021,$57.10,9645522,$55.07,$57.34,$54.82
05/06/2021,$55.70,9648243,$55.50,$55.72,$53.69
05/05/2021,$55.44,7033141,$54.35,$55.6719,$53.22
05/04/2021,$52.57,12834290,$51.73,$53.03,$51.64
05/03/2021,$52.74,9325063,$51.92,$52.925,$51.5603
