Date,Close/Last,Volume,Open,High,Low
11/16/2021,172.92,8667323,173.97,174.48,172.86
11/15/2021,174.18,5630808,174.10,174.59,173.69
11/12/2021,174.45,7894848,173.51,174.67,173.40
11/11/2021,174.12,5959640,173.98,174.27,173.74
11/10/2021,173.15,11461780,173.67,174.65,172.11
11/09/2021,171.29,5781180,170.73,171.31,170.12
11/08/2021,170.45,4966135,170.43,170.70,170.06
11/05/2021,169.84,9368948,168.42,169.94,167.85
11/04/2021,167.65,6656097,167.51,168.14,167.37
11/03/2021,165.77,9055208,165.34,165.95,164.38
11/02/2021,167.16,3760736,167.43,167.63,166.963
11/01/2021,167.52,4975560,167.38,167.84,166.91
10/29/2021,166.65,7531872,166.29,166.73,165.64
10/28/2021,168.08,7000717,168.98,169.25,167.53
10/27/2021,168.12,5823080,167.73,168.20,166.86
10/26/2021,167.68,6658890,167.88,167.91,166.63
10/25/2021,168.93,4881346,168.66,169.21,168.53
10/22/2021,167.77,10703930,168.67,169.54,166.67
10/21/2021,166.75,4412389,166.70,166.94,166.24
10/20/2021,166.90,5022036,166.21,167.11,165.9258
10/19/2021,165.45,6588473,166.50,166.50,165.2001
10/18/2021,164.92,4029594,165.42,165.59,164.81
10/15/2021,165.33,8699223,165.39,166.09,165.10
10/14/2021,168.00,5083847,168.19,168.22,167.71
10/13/2021,167.59,11118290,165.28,167.92,165.28
10/12/2021,164.66,5453049,164.57,165.44,164.31
10/11/2021,163.92,3820087,164.04,164.58,163.91
10/08/2021,164.23,8536109,166.32,166.42,164.135
10/07/2021,164.16,4791505,164.02,164.8507,163.96
10/06/2021,165.03,6067156,164.23,165.06,164.1531
10/05/2021,164.59,5617283,163.94,164.85,163.49
10/04/2021,165.36,7651658,163.69,165.54,163.47
10/01/2021,164.59,6654686,164.27,164.96,163.885
09/30/2021,164.22,10574820,162.66,164.95,162.34
09/29/2021,161.32,8360656,162.35,162.74,160.97
09/28/2021,162.05,9282755,162.73,162.82,161.73
09/27/2021,163.64,4942989,163.85,164.3608,163.51
09/24/2021,163.30,6937521,163.00,164.00,162.74
09/23/2021,163.51,8451899,164.10,164.20,163.27
09/22/2021,165.42,9777794,165.89,167.15,165.03
09/21/2021,166.04,7181458,165.81,166.63,165.49
09/20/2021,164.94,7566577,164.29,165.28,164.07
09/17/2021,163.77,8369679,163.86,164.32,163.40
09/16/2021,164.03,11780400,164.38,164.44,163.233
09/15/2021,167.83,5624883,168.133,168.36,167.45
09/14/2021,168.82,7922917,168.22,169.16,167.48
09/13/2021,167.74,5474323,167.45,168.22,167.395
09/10/2021,167.18,7426272,167.81,168.08,167.145
09/09/2021,168.03,6641424,168.17,168.28,166.83
09/08/2021,167.29,6575990,168.02,168.08,166.70
09/07/2021,167.71,10007700,169.56,169.78,167.63
09/03/2021,171.06,8353646,170.59,171.55,170.15
09/02/2021,169.25,4601128,169.50,169.63,168.82
09/01/2021,169.70,4764866,169.94,170.00,169.16
08/31/2021,169.69,6336002,169.23,169.92,168.75
08/30/2021,169.35,3768628,169.66,169.835,169.09
08/27/2021,170.19,10036430,167.58,170.19,166.87
08/26/2021,167.67,4371866,167.21,168.21,166.83
08/25/2021,167.48,5588751,167.88,167.92,166.74
08/24/2021,168.65,4519173,169.04,169.27,168.52
08/23/2021,168.73,8190548,168.82,168.91,167.96
08/20/2021,166.70,7154348,166.80,167.14,166.36
08/19/2021,166.61,6934268,167.24,167.29,166.16
